_id|doi|solvent|standard_value|corrected|solvent_smiles|eV|canonical_smiles
614|https://doi.org/10.1039/C5TC00779H|THF|608.0|1|C1CCOC1|2.039213815789474|CC(C)(C)c1ccc(N2C(=O)c3cccc4c(/C=C/c5ccc6cc(N(c7ccccc7)c7ccccc7)ccc6c5)ccc(c34)C2=O)cc1
615|https://doi.org/10.1039/C5TC00779H|DCM|634.0|1|ClCCl|1.955586750788644|CC(C)(C)c1ccc(N2C(=O)c3cccc4c(/C=C/c5ccc6cc(N(c7ccccc7)c7ccccc7)ccc6c5)ccc(c34)C2=O)cc1
616|https://doi.org/10.1039/C5TC00779H|DMSO|687.0|1|CS(C)=O|1.804719068413392|CC(C)(C)c1ccc(N2C(=O)c3cccc4c(/C=C/c5ccc6cc(N(c7ccccc7)c7ccccc7)ccc6c5)ccc(c34)C2=O)cc1
619|https://doi.org/10.1039/C6TC03063G|CH2Cl2|535.0|1|ClCCl|2.317461682242991|c1ccc2c(c1)c1ccccc1n2-c1ccc2c(c1)c1cc(-n3c4ccccc4c4ccccc43)ccc1n2CCCCCCOc1ccc2c(c1)c1ccccc1n2-c1ccc(-c2nc(-c3ccc(-n4c5ccccc5c5cc(OCCCCCCn6c7ccc(-n8c9ccccc9c9ccccc98)cc7c7cc(-n8c9ccccc9c9ccccc98)ccc76)ccc54)cc3)nc(-c3ccc(-n4c5ccccc5c5cc(OCCCCCCn6c7ccc(-n8c9ccccc9c9ccccc98)cc7c7cc(-n8c9ccccc9c9ccccc98)ccc76)ccc54)cc3)n2)cc1
620|https://doi.org/10.1039/C6TC03063G|CH2Cl2|535.0|1|ClCCl|2.317461682242991|COc1ccc2c(c1)c1ccccc1n2-c1ccc(-c2nc(-c3ccc(-n4c5ccccc5c5cc(OC)ccc54)cc3)nc(-c3ccc(-n4c5ccccc5c5cc(OC)ccc54)cc3)n2)cc1
621|https://doi.org/10.1039/D4QM00779D|toluene|382.0|1|Cc1ccccc1|3.245659685863874|O=c1c2ccccc2oc2cc(-c3ccc4oc5ccc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)cc5c4c3)ccc12
623|https://doi.org/10.1039/D4TC04832F|DCM|421.0|0|ClCCl|2.944992874109264|c1ccc(-n2c(-c3ccc(-c4cccc5c4oc4c(-c6ccc(-c7nc8c9ccccc9c9ccccc9c8n7-c7ccccc7)cc6)cccc45)cc3)nc3c4ccccc4c4ccccc4c32)cc1
624|https://doi.org/10.1039/D4TC04832F|DCM|419.0|0|ClCCl|2.959050119331743|c1ccc(-n2c(-c3ccc(-c4cccc5c4oc4c(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)cccc45)cc3)nc3c4ccccc4c4ccccc4c32)cc1
625|https://doi.org/10.1039/D4TC04832F|DCM|428.0|0|ClCCl|2.896827102803738|c1ccc(N(c2ccccc2)c2ccc(-c3cccc4c3oc3c(-c5ccc(-c6nc7c8ccccc8c8ccccc8c7n6-c6ccccc6)cc5)cccc34)cc2)cc1
626|https://doi.org/10.1039/D4TC01214C|toluene|630.0|0|Cc1ccccc1|1.968003174603175|N#Cc1cc2nc3c4ccccc4c4cccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)c4c3nc2cc1C#N
627|https://doi.org/10.1039/C9NJ03184G|toluene|617.0|0|Cc1ccccc1|2.009468395461913|FC(F)(F)c1ccc2nc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)c(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nc2c1
628|https://doi.org/10.1039/C9NJ03184G|toluene|611.0|0|Cc1ccccc1|2.029201309328969|N#Cc1ccc2nc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)c(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nc2c1
634|https://doi.org/10.1039/D4NR03955F|toluene|478.0|1|Cc1ccccc1|2.593811715481172|CC(C)(C)c1ccc(N2c3ccc(C(C)(C)C)cc3B3c4cc(C(C)(C)C)ccc4N(c4ccc(C(C)(C)C)cc4)c4cc(-c5cc(-c6ccccc6)cc(-c6ccccc6)c5)cc2c43)cc1
637|https://doi.org/10.1039/D2QO02039D|THF|419.0|0|C1CCOC1|2.959050119331743|CC(C)(C)c1ccc(-n2c(-c3ccc(-c4ccc(-c5nnc(-c6ccccc6)n5-c5ccccc5)cc4)cc3)nc3c4ccccc4c4ccccc4c32)cc1
638|https://doi.org/10.1039/D2QO02039D|THF|421.0|0|C1CCOC1|2.944992874109264|N#Cc1ccc(-n2c(-c3ccc(-c4ccc(-c5nnc(-c6ccccc6)n5-c5ccccc5)cc4)cc3)nc3c4ccccc4c4ccccc4c32)cc1
639|https://doi.org/10.1039/D0TC03136D|THF|482.0|0|C1CCOC1|2.572286307053942|CC1(C)OB(c2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2)OC1(C)C
640|https://doi.org/10.1039/D1TC04933J|toluene|497.0|1|Cc1ccccc1|2.494651911468813|COC(=O)c1c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1-n1c2ccc(C(C)(C)C)cc2c2cc(C(C)(C)C)ccc21
644|https://doi.org/10.1039/C9TC05917B|toluene|382.0|1|Cc1ccccc1|3.245659685863874|Cc1cc(N2c3ccccc3S(=O)(=O)c3ccccc32)c(C)cc1N1c2ccccc2C(C)(C)c2ccccc21
646|https://doi.org/10.1039/C4TC02547D|dichloromethane|401.0|0|ClCCl|3.091875311720699|CCCC1(CCC)c2ccccc2-c2ccc(C#Cc3ccc4c(c3)C(CCC)(CCC)c3cc(C#N)ccc3-4)cc21
700|https://doi.org/10.1002/adfm.202420489|toluene|616.0|1|Cc1ccccc1|2.01273051948052|N#Cc1cc2nc3c4ccccc4c4cc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)ccc4c3nc2cc1C#N
701|https://doi.org/10.1002/adfm.202420489|toluene|606.0|1|Cc1ccccc1|2.045943894389439|N#Cc1cc2nc3c4ccccc4c4cc(-c5ccc6c(c5)C5(c7ccccc7-c7ccccc75)c5ccccc5N6c5ccccc5)ccc4c3nc2cc1C#N
702|https://doi.org/10.1002/adom.202300368|toluene|616.0|1|Cc1ccccc1|2.01273051948052|N#Cc1cc2nc3c4ccccc4c4cc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)ccc4c3nc2cc1C#N
703|https://doi.org/10.1002/adom.202300368|toluene|622.0|1|Cc1ccccc1|1.993315112540193|N#Cc1cc2nc3c4ccccc4c4cc(-c5ccc6c(c5)C5(c7ccccc7-c7ccccc75)c5cc(N(c7ccccc7)c7ccccc7)ccc5-6)ccc4c3nc2cc1C#N
707|https://doi.org/10.1002/adfm.202105805|toluene|445.0|1|Cc1ccccc1|2.786161797752809|c1ccc(-n2c3ccccc3c3c4c(c5ccccc5n4-c4cc5c6c(c4)Oc4ccccc4B6c4ccccc4O5)c4sc5ccccc5c4c32)cc1
708|https://doi.org/10.1002/adom.201700145|Cyclohexane|625.0|1|C1CCCCC1|1.9837472|CC1(C)c2ccccc2N(c2ccc(-c3c4ccccc4c(-c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)c4nsnc34)cc2)c2ccccc21
